Team Name,1st Place Votes,2nd Place Votes,3rd Place Votes,4th Place Votes,5th Place Votes,6th Place Votes,7th Place Votes,8th Place Votes,9th Place Votes,10th Place Votes,Total Points
Colorado Gin Enthusiast (Joel),0.0,9.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
Dysdunctional Frunks (Jordan),0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,1.0,11.0
Frisco Fireballs (Ethan W.),10.0,9.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
Karolina Keg Stands (JC),10.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,25.0
Madison Moonshiners (Brady),0.0,9.0,16.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,30.0
Margaronas (Tyler),20.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
McCaffeine Free Beverages (McKenna),0.0,0.0,0.0,0.0,18.0,0.0,4.0,0.0,0.0,0.0,22.0
Pearl Pilsners (Alex),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,7.0
Team ethanjflynn (Ethan F.),0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,9.0
Team rep292 (Ryan),0.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,1.0,15.0
